iter	RMSE
0	2.452057488
1	2.395238368
2	2.344631227
3	2.319090168
4	2.307887596
5	2.281821038
6	2.269301116
7	2.262248432
8	2.243465677
9	2.236959013
10	2.231373397
11	2.165126829
12	2.148435252
13	2.085467181
14	2.081418387
15	2.075680345
16	2.072530475
17	2.055664827
18	2.053016811
19	2.041197569
20	2.037436592
21	2.035902561
22	2.033287689
23	1.979781868
24	1.954581253
25	1.953124763
26	1.950582795
27	1.948848506
28	1.947515705
29	1.946342333
30	1.932163205
31	1.923109152
32	1.921763399
33	1.920640917
34	1.913879694
35	1.912373023
36	1.910767266
37	1.907827139
38	1.889493984
39	1.8826374
40	1.87989953
41	1.871860674
42	1.870784987
43	1.863357553
44	1.819761456
45	1.818493436
46	1.811455838
47	1.800404722
48	1.7994176
49	1.797156154
50	1.796128278
51	1.794920336
52	1.759698267
53	1.759175652
54	1.758525326
55	1.756132214
56	1.755331607
57	1.754957916
58	1.754492847
59	1.736851021
60	1.73641656
61	1.735439468
62	1.730366876
63	1.728508095
64	1.727870584
65	1.727558631
66	1.721017672
67	1.715905278
68	1.715458075
69	1.715145212
70	1.714556695
71	1.705590252
72	1.699510571
73	1.699216367
74	1.664910485
75	1.663891942
76	1.661415012
77	1.655606809
78	1.650252185
79	1.64989464
80	1.649378395
81	1.648799456
82	1.619268427
83	1.613328708
84	1.609165691
85	1.582645446
86	1.582417775
87	1.582019254
88	1.577028355
89	1.575799652
90	1.55226389
91	1.550569797
92	1.546511284
93	1.546115232
94	1.545591624
95	1.545300234
96	1.522674608
97	1.502402226
98	1.502159718
99	1.502081412
100	1.497992279
101	1.497452531
102	1.496674824
103	1.496419792
104	1.495354569
105	1.494225822
106	1.493496498
107	1.492727926
108	1.492288084
109	1.492037799
110	1.488302409
111	1.488097252
112	1.487957244
113	1.472778404
114	1.469032023
115	1.467723035
116	1.466605788
117	1.462100006
118	1.461708354
119	1.461137982
120	1.460819199
121	1.456637677
122	1.455211481
123	1.451558896
124	1.451079831
125	1.450675872
126	1.445838061
127	1.445497357
128	1.444873755
129	1.444577295
130	1.441459398
131	1.440920788
132	1.440153775
133	1.439582055
134	1.424427328
135	1.42394653
136	1.423826091
137	1.422477017
138	1.422312595
139	1.414655334
140	1.414237774
141	1.413815859
142	1.41326343
143	1.412352282
144	1.410248795
145	1.409725062
146	1.409362371
147	1.409198989
148	1.409054567
149	1.408846411
150	1.407953907
151	1.40770099
152	1.407270073
153	1.40691239
154	1.403913578
155	1.399874647
156	1.399327052
157	1.396944145
158	1.38319616
159	1.382839549
160	1.382538867
161	1.382199215
162	1.382008615
163	1.381804585
164	1.381309229
165	1.379826209
166	1.378997876
167	1.378826561
168	1.378381554
169	1.378265474
170	1.377997488
171	1.376039819
172	1.375386279
173	1.372219914
174	1.371977098
175	1.371705505
176	1.37070638
177	1.37040723
178	1.369487183
179	1.368527104
180	1.366398742
181	1.365559336
182	1.363631914
183	1.362890621
184	1.362079966
185	1.361968997
186	1.361645983
187	1.359864594
188	1.35819517
189	1.354420657
190	1.354045122
191	1.353371333
192	1.352681729
193	1.352079499
194	1.351849197
195	1.351634254
196	1.350482325
197	1.350336699
198	1.350239651
199	1.349448478
200	1.349249666
201	1.348971611
202	1.348754867
203	1.348276691
204	1.346463139
205	1.346413021
206	1.345627858
207	1.34349248
208	1.343040554
209	1.34264552
210	1.341944089
211	1.341498565
212	1.341470539
213	1.340978467
214	1.340142448
215	1.338397708
216	1.338348288
217	1.331676246
218	1.330739625
219	1.330216489
220	1.329281495
221	1.328399698
222	1.328061915
223	1.327749597
224	1.327311765
225	1.3266053
226	1.325161003
227	1.324777861
228	1.324423825
229	1.324122518
230	1.324096284
231	1.323935675
232	1.323257584
233	1.322548151
234	1.322237646
235	1.321944421
236	1.321342418
237	1.320938384
238	1.320474811
239	1.320448985
240	1.309621952
241	1.308987665
242	1.308728818
243	1.299923949
244	1.299277888
245	1.298886281
246	1.298431658
247	1.296061267
248	1.295585427
249	1.295302869
250	1.294784805
251	1.294355031
252	1.294044136
253	1.293318721
254	1.284604515
255	1.283881355
256	1.283827247
257	1.280971104
258	1.280514873
259	1.280227939
260	1.280074826
261	1.27974155
262	1.279719936
263	1.279221181
264	1.278853014
265	1.278834157
266	1.278308489
267	1.278053498
268	1.277306187
269	1.276530651
270	1.275610306
271	1.27511549
272	1.274762038
273	1.274359295
274	1.273932346
275	1.273568709
276	1.273138921
277	1.273121689
278	1.272460356
279	1.272159306
280	1.271539392
281	1.268963687
282	1.26797265
283	1.267252824
284	1.266904512
285	1.266719451
286	1.266143943
287	1.265631524
288	1.265219248
289	1.264843993
290	1.264570711
291	1.264109663
292	1.263731776
293	1.261406185
294	1.261390241
295	1.260740287
296	1.260274778
297	1.259613548
298	1.259331201
299	1.258652787
300	1.258230007
301	1.256147486
302	1.255645513
303	1.25456419
304	1.254547576
305	1.253639122
306	1.245734611
307	1.245342222
308	1.245327343
309	1.245150194
310	1.243328746
311	1.24291836
312	1.23642114
313	1.236180996
314	1.22988761
315	1.229501425
316	1.229054954
317	1.228436569
318	1.228074797
319	1.227667031
320	1.227163388
321	1.225701163
322	1.225295787
323	1.219777236
324	1.219263158
325	1.218191972
326	1.213445647
327	1.213294315
328	1.212925361
329	1.212514681
330	1.20807719
331	1.207817198
332	1.207541743
333	1.203304148
334	1.203282328
335	1.202674093
336	1.202111874
337	1.202097893
338	1.201297977
339	1.200908184
340	1.200184026
341	1.199649755
342	1.198279619
343	1.197071309
344	1.196739923
345	1.196125105
346	1.194839787
347	1.194482047
348	1.193951691
349	1.193525964
350	1.193289539
351	1.192888336
352	1.192431587
353	1.191107307
354	1.18753705
355	1.187411903
356	1.186835597
357	1.184831796
358	1.183695951
359	1.180246513
360	1.178468899
361	1.178020672
362	1.177584006
363	1.176507375
364	1.176027648
365	1.175752689
366	1.175425386
367	1.175298673
368	1.175286653
369	1.173348274
370	1.172800033
371	1.172116767
372	1.169036953
373	1.166771177
374	1.165826159
375	1.163358496
376	1.161164454
377	1.160198642
378	1.158371162
379	1.157908612
380	1.1575287
381	1.156441338
382	1.15586924
383	1.155429371
384	1.155207167
385	1.154639983
386	1.153857813
387	1.153113143
388	1.152963463
389	1.151496361
390	1.151196486
391	1.15029544
392	1.150185395
393	1.149333656
394	1.149321072
395	1.149159435
396	1.148691231
397	1.148150404
398	1.147024398
399	1.146759678
400	1.14661895
401	1.146315957
402	1.146305159
403	1.146049974
404	1.144441638
405	1.14395047
406	1.143927293
407	1.14334817
408	1.142373686
409	1.142161194
410	1.141826608
411	1.141555874
412	1.141182799
413	1.140685281
414	1.140675842
415	1.140665768
416	1.140311207
417	1.139931893
418	1.139336315
419	1.13915804
420	1.139148747
421	1.138925196
422	1.137156514
423	1.136816104
424	1.136587386
425	1.135871918
426	1.135661626
427	1.135487518
428	1.134531287
429	1.133236905
430	1.132888865
431	1.132684156
432	1.131480906
433	1.131124093
434	1.130879101
435	1.130730739
436	1.130144563
437	1.129686405
438	1.129353094
439	1.129086693
440	1.128211772
441	1.128153985
442	1.127750236
443	1.127742361
444	1.127510934
445	1.12678594
446	1.125244833
447	1.124721137
448	1.124160068
449	1.12385898
450	1.123745445
451	1.123435343
452	1.123119279
453	1.123112384
454	1.122855506
455	1.122711114
456	1.122531233
457	1.121383394
458	1.121032641
459	1.119516201
460	1.118221941
461	1.117571802
462	1.117117218
463	1.116876123
464	1.116158378
465	1.115321163
466	1.114732301
467	1.114278482
468	1.113322339
469	1.112663492
470	1.112398566
471	1.11191958
472	1.111327861
473	1.111158489
474	1.110524897
475	1.110179881
476	1.110171507
477	1.109980134
478	1.108611636
479	1.107994449
480	1.107666256
481	1.107210518
482	1.106507261
483	1.106268047
484	1.10545526
485	1.105204977
486	1.10489425
487	1.104789639
488	1.104254376
489	1.103716461
490	1.103100534
491	1.102495563
492	1.10161855
493	1.101248544
494	1.101239295
495	1.100062057
496	1.098909112
497	1.098686898
498	1.097707924
499	1.096744076
500	1.09660965
501	1.096396627
502	1.096168198
503	1.095697295
504	1.095068387
505	1.094807354
506	1.09442945
507	1.093322724
508	1.091983561
509	1.091746375
510	1.09143746
511	1.091135899
512	1.091097377
513	1.090986786
514	1.09069912
515	1.089726944
516	1.088783487
517	1.088689391
518	1.088560933
519	1.087504564
520	1.08645569
521	1.086228897
522	1.085951201
523	1.08489731
524	1.084388783
525	1.084378392
526	1.084238429
527	1.083832654
528	1.083518373
529	1.083004471
530	1.082635457
531	1.082209465
532	1.081639277
533	1.081179477
534	1.080725225
535	1.080358751
536	1.08035268
537	1.079567256
538	1.079154309
539	1.078781322
540	1.07844106
541	1.078434513
542	1.077927587
543	1.07788952
544	1.07725872
545	1.077009112
546	1.076426796
547	1.075738866
548	1.074642993
549	1.07410966
550	1.074101058
551	1.073712629
552	1.073218113
553	1.073035659
554	1.072743886
555	1.072530599
556	1.072338875
557	1.072333027
558	1.071436986
559	1.071147949
560	1.069675965
561	1.069499116
562	1.069038658
563	1.068833408
564	1.068539798
565	1.068057662
566	1.068051949
567	1.067768405
568	1.067278769
569	1.067143677
570	1.066752692
571	1.066383991
572	1.065430293
573	1.065188453
574	1.065044262
575	1.064559329
576	1.062726894
577	1.06240319
578	1.061969838
579	1.061965113
580	1.061768199
581	1.061484755
582	1.061112921
583	1.060735965
584	1.060526128
585	1.060028764
586	1.059752823
587	1.059468124
588	1.059065079
589	1.058952129
590	1.058625444
591	1.058454691
