iter	Passed	Remaining
0	168	167952
1	174	87102
2	180	60079
3	185	46157
4	191	38114
5	197	32722
6	202	28739
7	208	25855
8	214	23597
9	219	21711
10	225	20285
11	230	19006
12	235	17910
13	241	16982
14	246	16190
15	251	15469
16	257	14862
17	262	14298
18	267	13799
19	272	13352
20	277	12924
21	282	12569
22	289	12308
23	295	12008
24	300	11735
25	307	11525
26	313	11305
27	319	11102
28	325	10888
29	330	10700
30	336	10531
31	343	10383
32	349	10246
33	355	10097
34	361	9967
35	367	9852
36	373	9720
37	378	9594
38	384	9476
39	390	9379
40	396	9277
41	404	9225
42	411	9153
43	420	9134
44	426	9042
45	432	8965
46	438	8898
47	444	8808
48	451	8762
49	458	8712
50	470	8746
51	476	8678
52	483	8643
53	489	8575
54	495	8521
55	501	8455
56	506	8383
57	512	8318
58	517	8257
59	522	8182
60	527	8114
61	531	8044
62	536	7976
63	541	7915
64	545	7850
65	550	7785
66	554	7727
67	559	7669
68	563	7608
69	568	7547
70	572	7495
71	577	7446
72	582	7394
73	587	7350
74	593	7322
75	598	7279
76	604	7241
77	610	7214
78	615	7180
79	621	7145
80	627	7115
81	632	7082
82	637	7040
83	642	7010
84	648	6980
85	653	6944
86	658	6914
87	664	6891
88	669	6856
89	675	6830
90	680	6800
91	685	6767
92	691	6741
93	696	6712
94	701	6680
95	706	6653
96	711	6624
97	716	6593
98	721	6568
99	725	6529
100	730	6502
101	735	6475
102	741	6455
103	746	6427
104	750	6398
105	756	6379
106	760	6348
107	765	6320
108	771	6303
109	776	6279
110	780	6251
111	786	6235
112	791	6215
113	796	6192
114	803	6186
115	810	6172
116	817	6166
117	823	6155
118	828	6136
119	835	6127
120	841	6110
121	847	6098
122	853	6088
123	859	6070
124	867	6070
125	872	6055
126	878	6036
127	884	6027
128	890	6010
129	895	5991
130	901	5982
131	907	5965
132	913	5953
133	918	5936
134	923	5915
135	927	5895
136	932	5872
137	937	5854
138	942	5838
139	948	5825
140	953	5805
141	957	5786
142	962	5767
143	967	5753
144	973	5739
145	978	5721
146	983	5706
147	988	5691
148	994	5680
149	1000	5670
150	1006	5657
151	1012	5648
152	1018	5637
153	1022	5615
154	1028	5604
155	1034	5597
156	1039	5580
157	1045	5572
158	1050	5557
159	1055	5540
160	1062	5538
161	1067	5522
162	1072	5504
163	1077	5492
164	1082	5476
165	1086	5460
166	1093	5452
167	1098	5440
168	1103	5426
169	1109	5414
170	1113	5400
171	1119	5387
172	1124	5376
173	1129	5363
174	1134	5349
175	1140	5337
176	1144	5323
177	1149	5309
178	1155	5299
179	1160	5284
180	1164	5270
181	1170	5258
182	1174	5243
183	1179	5231
184	1184	5220
185	1189	5206
186	1194	5192
187	1199	5181
188	1205	5172
189	1211	5165
190	1217	5156
191	1223	5148
192	1228	5137
193	1233	5124
194	1239	5117
195	1245	5107
196	1250	5096
197	1256	5091
198	1262	5080
199	1267	5070
200	1273	5062
201	1278	5049
202	1283	5038
203	1288	5028
204	1293	5016
205	1297	5002
206	1303	4993
207	1308	4982
208	1313	4972
209	1318	4961
210	1323	4949
211	1328	4937
212	1333	4926
213	1337	4913
214	1342	4900
215	1346	4888
216	1351	4875
217	1355	4862
218	1359	4849
219	1365	4840
220	1370	4829
221	1374	4818
222	1381	4813
223	1386	4804
224	1391	4793
225	1397	4787
226	1403	4779
227	1408	4769
228	1415	4764
229	1420	4754
230	1424	4742
231	1430	4736
232	1436	4728
233	1441	4719
234	1448	4714
235	1453	4705
236	1458	4696
237	1464	4689
238	1470	4682
239	1476	4674
240	1481	4666
241	1486	4655
242	1491	4645
243	1496	4637
244	1501	4627
245	1506	4617
246	1512	4609
247	1516	4599
248	1521	4589
249	1527	4581
250	1531	4570
251	1536	4560
252	1541	4551
253	1546	4541
254	1551	4531
255	1556	4522
256	1561	4513
257	1566	4505
258	1571	4496
259	1576	4488
260	1581	4478
261	1586	4467
262	1591	4460
263	1597	4453
264	1603	4446
265	1609	4441
266	1614	4432
267	1620	4425
268	1626	4419
269	1631	4410
270	1637	4405
271	1642	4396
272	1647	4387
273	1654	4383
274	1659	4374
275	1664	4365
276	1669	4357
277	1674	4348
278	1679	4339
279	1683	4329
280	1689	4322
281	1694	4314
282	1700	4307
283	1705	4299
284	1710	4290
285	1714	4280
286	1719	4272
287	1724	4263
288	1728	4253
289	1734	4245
290	1739	4237
291	1743	4227
292	1748	4218
293	1753	4209
294	1757	4200
295	1763	4193
296	1768	4185
297	1772	4176
298	1777	4168
299	1783	4162
300	1789	4155
301	1794	4147
302	1800	4142
303	1806	4135
304	1810	4126
305	1816	4119
306	1821	4112
307	1826	4103
308	1831	4096
309	1837	4089
310	1842	4081
311	1848	4076
312	1853	4069
313	1858	4060
314	1864	4054
315	1869	4046
316	1874	4038
317	1880	4032
318	1885	4025
319	1890	4017
320	1895	4010
321	1900	4002
322	1905	3993
323	1911	3987
324	1916	3980
325	1921	3972
326	1926	3965
327	1932	3958
328	1937	3950
329	1942	3942
330	1947	3935
331	1951	3927
332	1957	3921
333	1963	3915
334	1968	3906
335	1974	3901
336	1979	3893
337	1983	3885
338	1989	3879
339	1994	3870
340	1999	3863
341	2005	3857
342	2010	3851
343	2015	3844
344	2021	3838
345	2027	3831
346	2031	3823
347	2037	3817
348	2042	3810
349	2048	3804
350	2053	3797
351	2059	3790
352	2064	3784
353	2070	3777
354	2075	3770
355	2079	3762
356	2084	3755
357	2090	3748
358	2095	3741
359	2100	3733
360	2105	3727
361	2110	3719
362	2115	3711
363	2119	3703
364	2124	3696
365	2128	3687
366	2133	3679
367	2138	3672
368	2142	3663
369	2146	3655
370	2151	3647
371	2156	3640
372	2160	3632
373	2165	3625
374	2171	3619
375	2176	3611
376	2182	3606
377	2187	3599
378	2192	3592
379	2198	3587
380	2203	3579
381	2208	3572
382	2214	3567
383	2219	3561
384	2224	3553
385	2230	3548
386	2235	3541
387	2240	3534
388	2246	3528
389	2252	3522
390	2256	3515
391	2262	3509
392	2267	3502
393	2273	3496
394	2277	3488
395	2282	3481
396	2287	3474
397	2292	3467
398	2297	3460
399	2301	3452
400	2306	3444
401	2310	3437
402	2315	3429
403	2319	3422
404	2323	3414
405	2328	3406
406	2332	3398
407	2337	3391
408	2341	3384
409	2347	3377
410	2352	3371
411	2357	3364
412	2362	3357
413	2367	3350
414	2371	3342
415	2375	3335
416	2380	3328
417	2385	3321
418	2391	3315
419	2396	3309
420	2400	3302
421	2406	3296
422	2412	3290
423	2416	3283
424	2422	3277
425	2428	3272
426	2433	3265
