iter	Passed	Remaining
0	343	343062
1	587	292913
2	827	275096
3	1073	267410
4	1230	244919
5	1468	243326
6	1642	233015
7	1765	218982
8	1887	207871
9	2013	199311
10	2126	191147
11	2248	185110
12	2369	179924
13	2492	175567
14	2618	171975
15	2741	168623
16	2865	165701
17	2989	163074
18	3110	160577
19	3233	158450
20	3352	156277
21	3493	155310
22	3681	156396
23	3941	160284
24	4128	160995
25	4377	163994
26	4638	167149
27	4885	169585
28	5146	172317
29	5383	174076
30	5649	176598
31	5886	178057
32	6137	179833
33	6265	178016
34	6519	179740
35	6783	181643
36	7048	183460
37	7288	184509
38	7531	185591
39	7709	185023
40	7839	183358
41	7966	181702
42	8099	180271
43	8222	178658
44	8350	177208
45	8482	175918
46	8607	174533
47	8867	175866
48	9104	176698
49	9352	177692
50	9599	178616
51	9831	179237
52	9959	177948
53	10184	178422
54	10412	178906
55	10643	179427
56	10877	179949
57	11120	180607
58	11349	181007
59	11583	181473
60	11840	182265
61	12106	183159
62	12334	183450
63	12559	183682
64	12727	183073
65	12858	181965
66	12993	180936
67	13162	180404
68	13289	179305
69	13423	178334
70	13573	177604
71	13767	177444
72	13980	177534
73	14198	177675
74	14477	178554
75	14714	178899
76	14946	179160
77	15187	179518
78	15412	179683
79	15638	179838
80	15952	180992
81	16416	183783
82	16801	185630
83	17190	187459
84	17743	190998
85	17886	190098
86	18019	189105
87	18163	188243
88	18325	187579
89	18495	187006
90	18749	187293
91	19216	189661
92	19498	190162
93	19883	191643
94	20280	193196
95	20671	194656
96	21262	197936
97	21825	200879
98	22448	204305
99	23153	208378
100	24027	213868
101	24602	216602
102	24952	217307
103	25228	217356
104	25519	217519
105	25807	217655
106	26256	219128
107	26740	220859
108	27135	221816
109	27501	222508
110	27897	223430
111	28688	227460
112	29161	228901
113	29686	230724
114	30218	232554
115	30738	234250
116	31142	235033
117	31530	235678
118	31900	236169
119	32139	235686
120	32339	234928
121	32524	234067
122	32736	233414
123	33082	233709
124	33451	234157
125	33858	234858
126	34153	234770
127	34465	234798
128	34774	234794
129	35089	234831
130	35345	234467
131	35627	234278
132	35914	234117
133	36290	234532
134	36586	234423
135	36890	234363
136	37135	233927
137	37402	233628
138	37696	233504
139	37904	232843
140	38047	231795
141	38194	230780
142	38313	229614
143	38426	228426
144	38561	227382
145	38696	226345
146	38819	225260
147	38935	224143
148	39067	223131
149	39179	222014
150	39296	220944
151	39415	219898
152	39546	218928
153	39661	217881
154	39776	216848
155	39982	216314
156	40242	216080
157	40468	215662
158	40675	215143
159	40893	214691
160	41118	214278
161	41336	213824
162	41548	213349
163	41762	212888
164	42039	212744
165	42292	212479
166	42534	212163
167	42762	211776
168	42980	211340
169	43201	210926
170	43419	210495
171	43633	210049
172	43850	209618
173	44084	209275
174	44300	208844
175	44526	208462
176	44785	208239
177	45013	207872
178	45152	207094
179	45323	206473
180	45535	206043
181	45719	205487
182	45865	204767
183	46099	204440
184	46315	204038
185	46544	203692
186	46790	203427
187	47013	203056
188	47263	202808
189	47511	202550
190	47731	202169
191	47944	201767
192	48154	201348
193	48383	201014
194	48609	200671
195	48831	200309
196	49049	199931
197	49257	199518
198	49466	199108
199	49683	198733
200	49892	198329
201	50016	197590
202	50134	196831
203	50249	196070
204	50364	195314
205	50477	194558
206	50589	193804
207	50702	193058
208	50812	192309
209	50962	191716
210	51177	191370
211	51390	191018
212	51603	190666
213	51816	190318
214	52029	189967
215	52249	189645
216	52464	189306
217	52683	188985
218	52896	188640
219	53112	188306
220	53328	187977
221	53544	187648
222	53758	187312
223	53968	186962
224	54195	186674
225	54410	186344
226	54611	185967
227	54834	185667
228	55000	185177
229	55118	184528
230	55236	183883
231	55357	183252
232	55478	182625
233	55600	182008
234	55720	181387
235	55840	180770
236	55955	180142
237	56072	179525
238	56183	178893
239	56298	178277
240	56409	177654
241	56524	177049
242	56638	176443
243	56752	175838
244	56865	175237
245	57025	174784
246	57235	174488
247	57446	174192
248	57669	173935
249	57889	173667
250	58095	173361
251	58313	173089
252	58527	172805
253	58743	172531
254	58951	172229
255	59166	171953
256	59378	171667
257	59595	171393
258	59814	171129
259	60036	170872
260	60351	170879
261	60625	170769
262	60854	170532
263	61126	170412
264	61425	170369
265	61720	170311
266	62011	170240
267	62237	169992
268	62464	169744
269	62699	169520
270	62928	169279
271	63057	168772
272	63176	168239
273	63308	167744
274	63440	167251
275	63565	166743
276	63681	166215
277	63799	165695
278	63937	165228
279	64161	164987
280	64410	164807
281	64685	164695
282	65006	164697
283	65362	164787
284	65582	164531
285	65809	164293
286	66091	164191
287	66300	163910
288	66535	163690
289	66753	163432
290	66965	163155
291	67183	162897
292	67417	162677
293	67729	162642
294	67985	162474
295	68133	162047
296	68247	161542
297	68364	161045
298	68477	160544
299	68593	160051
300	68714	159573
301	68842	159111
302	68962	158635
303	69168	158359
304	69757	158954
305	69996	158749
306	70246	158570
307	70491	158377
308	70741	158195
309	71205	158490
310	71665	158770
311	72010	158793
312	72370	158845
313	72698	158825
314	73148	159068
315	73564	159235
316	73989	159415
317	74349	159454
318	74790	159662
319	75417	160262
320	75996	160752
321	76265	160582
322	76523	160391
323	76955	160561
324	77329	160607
325	79370	164096
326	79981	164610
327	80378	164678
328	80820	164834
329	81281	165026
330	81635	164997
331	82003	164994
332	82290	164827
333	82574	164654
334	83012	164786
335	83365	164746
336	83884	165030
337	84351	165209
338	85389	166496
339	85889	166727
340	86673	167501
341	87416	168187
342	88005	168570
343	88433	168640
344	88965	168906
345	89615	169389
346	90261	169858
347	90727	169984
348	91249	170210
349	91775	170439
350	92271	170611
351	92797	170832
352	93258	170929
353	93782	171140
354	94264	171269
355	95243	172293
356	95686	172342
357	96033	172216
358	96449	172212
359	96786	172064
360	97143	171952
361	97467	171780
362	97804	171629
363	98204	171587
364	98727	171759
365	99254	171932
366	100309	173013
367	101490	174299
368	101985	174397
369	102356	174282
370	102568	173896
371	102794	173535
372	103012	173160
373	103180	172703
374	103352	172254
375	103547	171845
376	103732	171419
377	103903	170972
378	104095	170562
379	104264	170116
380	104532	169831
381	104953	169793
382	105387	169775
383	105782	169692
384	106081	169454
385	106577	169529
386	106926	169369
387	107644	169789
388	108064	169736
389	108551	169784
390	109069	169881
391	109514	169858
392	109815	169613
393	110112	169360
394	110420	169125
395	110810	169013
396	111150	168826
397	111424	168537
398	111716	168275
399	112008	168012
400	112280	167721
401	112732	167697
402	113100	167545
403	113427	167333
404	113720	167070
405	114072	166894
406	114355	166616
407	114663	166374
408	114959	166114
